Application,Deployment,Load,Target service,Service,Backend,Requests,Fails,Median latency (ms),Average latency (ms),p95 latency (ms),p99 latency (ms),CPU (%),Memory (%),Service p50 latency (ms),Service p95 latency (ms),Service p99 latency (ms),Metric source,Data quality
GoB,IaaS only,checkoutservice 200 users (checkout),checkoutservice,frontend,iaas,50777,0,860.00,1092.29,1800.00,2300.00,43.4018,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,checkoutservice 200 users (checkout),checkoutservice,productcatalogservice,iaas,50777,0,860.00,1092.29,1800.00,2300.00,19.4400,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,checkoutservice 200 users (checkout),checkoutservice,cartservice,iaas,50777,0,860.00,1092.29,1800.00,2300.00,4.0631,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,checkoutservice 200 users (checkout),checkoutservice,checkoutservice,iaas,50777,0,860.00,1092.29,1800.00,2300.00,14.9765,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,checkoutservice 200 users (checkout),checkoutservice,currencyservice,iaas,50777,0,860.00,1092.29,1800.00,2300.00,22.1333,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,checkoutservice 200 users (checkout),checkoutservice,emailservice,iaas,50777,0,860.00,1092.29,1800.00,2300.00,17.8421,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,checkoutservice 200 users (checkout),checkoutservice,paymentservice,iaas,50777,0,860.00,1092.29,1800.00,2300.00,9.8227,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,checkoutservice 200 users (checkout),checkoutservice,shippingservice,iaas,50777,0,860.00,1092.29,1800.00,2300.00,5.6031,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,checkoutservice 200 users (checkout),checkoutservice,adservice,iaas,50777,0,860.00,1092.29,1800.00,2300.00,7.8249,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,checkoutservice 200 users (checkout),checkoutservice,recommendationservice,iaas,50777,0,860.00,1092.29,1800.00,2300.00,37.9338,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,checkoutservice 200 users (checkout),checkoutservice,redis-cart,iaas,50777,0,860.00,1092.29,1800.00,2300.00,5.4909,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,checkoutservice 200 users (checkout),checkoutservice,frontend,iaas,43180,196,1100.00,1298.89,2600.00,3700.00,41.6239,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,checkoutservice 200 users (checkout),checkoutservice,productcatalogservice,iaas,43180,196,1100.00,1298.89,2600.00,3700.00,17.8981,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,checkoutservice 200 users (checkout),checkoutservice,cartservice,iaas,43180,196,1100.00,1298.89,2600.00,3700.00,3.3488,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,checkoutservice 200 users (checkout),checkoutservice,checkoutservice,iaas,43180,196,1100.00,1298.89,2600.00,3700.00,13.6096,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,checkoutservice 200 users (checkout),checkoutservice,currencyservice,iaas,43180,196,1100.00,1298.89,2600.00,3700.00,49.3133,,400.94,970.90,2029.59,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct|error_count|error_pct
GoB,Hybrid,checkoutservice 200 users (checkout),checkoutservice,emailservice,faas,43180,196,1100.00,1298.89,2600.00,3700.00,11.4442,,6.49,57.39,191.21,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct|error_count|error_pct
GoB,Hybrid,checkoutservice 200 users (checkout),checkoutservice,paymentservice,iaas,43180,196,1100.00,1298.89,2600.00,3700.00,6.0944,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,checkoutservice 200 users (checkout),checkoutservice,shippingservice,iaas,43180,196,1100.00,1298.89,2600.00,3700.00,12.1787,,11.44,90.99,172.69,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct|error_count|error_pct
GoB,Hybrid,checkoutservice 200 users (checkout),checkoutservice,adservice,faas,43180,196,1100.00,1298.89,2600.00,3700.00,9.2085,,4.84,22.07,67.43,prometheus:kubernetes|bridge|openfaas|controller,missing:mem_pct
GoB,Hybrid,checkoutservice 200 users (checkout),checkoutservice,recommendationservice,iaas,43180,196,1100.00,1298.89,2600.00,3700.00,32.6204,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,checkoutservice 200 users (checkout),checkoutservice,redis-cart,iaas,43180,196,1100.00,1298.89,2600.00,3700.00,5.2603,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,currencyservice 50 users (currency),currencyservice,frontend,iaas,17258,0,680.00,675.51,960.00,1500.00,40.6390,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,currencyservice 50 users (currency),currencyservice,productcatalogservice,iaas,17258,0,680.00,675.51,960.00,1500.00,3.8796,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,currencyservice 50 users (currency),currencyservice,cartservice,iaas,17258,0,680.00,675.51,960.00,1500.00,2.0012,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,currencyservice 50 users (currency),currencyservice,checkoutservice,iaas,17258,0,680.00,675.51,960.00,1500.00,0.0081,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,currencyservice 50 users (currency),currencyservice,currencyservice,iaas,17258,0,680.00,675.51,960.00,1500.00,37.0023,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,currencyservice 50 users (currency),currencyservice,emailservice,iaas,17258,0,680.00,675.51,960.00,1500.00,0.4876,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,currencyservice 50 users (currency),currencyservice,paymentservice,iaas,17258,0,680.00,675.51,960.00,1500.00,0.0000,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,currencyservice 50 users (currency),currencyservice,shippingservice,iaas,17258,0,680.00,675.51,960.00,1500.00,0.0052,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,currencyservice 50 users (currency),currencyservice,adservice,iaas,17258,0,680.00,675.51,960.00,1500.00,3.2147,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,currencyservice 50 users (currency),currencyservice,recommendationservice,iaas,17258,0,680.00,675.51,960.00,1500.00,0.2460,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,IaaS only,currencyservice 50 users (currency),currencyservice,redis-cart,iaas,17258,0,680.00,675.51,960.00,1500.00,3.8765,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,currencyservice 50 users (currency),currencyservice,frontend,iaas,15641,96,610.00,766.96,1900.00,2400.00,35.6623,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,currencyservice 50 users (currency),currencyservice,productcatalogservice,iaas,15641,96,610.00,766.96,1900.00,2400.00,3.2343,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
GoB,Hybrid,currencyservice 50 users (currency),currencyservice,cartservice,iaas,15641,96,610.00,766.96,1900.00,2400.00,1.6723,,,,,prometheus:kubernetes,missing:mem_pct|request_count|error_count|error_pct|p50_ms|p95_ms|p99_ms|avg_latency_ms
